Title,Start Date,End Date,Description,Venue,Address,City,Postal Code,Country,Organizer,Website,Categories,Image URL,Source URL
Sur les traces de La Pérouse,2024-05-14T00:00:00+02:00,2024-06-28T23:59:59+02:00,Jeu de piste autour d’une expédition. Dans le cadre de l’exposition « Dessine-moi ta planète » de la Citadelle.,Médiathèque Pierre Bayle,"27, Avenue de la République",Besançon,25000,France,Bibliothèques municipales de Besançon,https://bibliotheques.besancon.fr/,"Jeune Public, Loisirs",https://sortir.besancon.fr/wp-content/uploads/2024/03/1-14.jpg,https://sortir.besancon.fr/evenement/sur-les-traces-de-la-perouse/
Bain musical (0-4 ans),2024-06-05T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Plongée dans la musique avec le tout-petit: jeux de doigts, chansons à gestes, découverte d’instruments, histoires musicales, rondes, etc.",Le Bastion,"16, avenue Gaulard",Besançon,25000,France,Association le Bastion,N/A,"Jeune Public, Loisirs",https://sortir.besancon.fr/wp-content/uploads/2023/07/CARRE_ADK.jpg,https://sortir.besancon.fr/evenement/bain-musical-0-4-ans/2024-06-05/
Atelier Dessin : portrait Renaissance,2024-06-05T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Après une initiation aux techniques fondamentales du dessin : observation, esquisse, proportion, ombre et lumière, texture… réalise ton autoportrait et sublime-le à la sauce Renaissance !",Musée des Beaux-arts et d’Archéologie,"1, place de la Révolution",Besançon,25000,France,Musée des Beaux-Arts et d’Archéologie,N/A,Jeune Public,https://sortir.besancon.fr/wp-content/uploads/2024/05/3-7.jpg,https://sortir.besancon.fr/evenement/atelier-dessin-portrait-renaissance/2024-06-05/
Visite de la ferme et atelier « trace d’animaux en plâtre »,2024-06-05T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Après une visite de la ferme et un petit gouter fermier, vous pourrez participer à un atelier de découverte des traces d’animaux de la ferme et de la fabrication d’une trace de votre animal préféré en plâtre.",La ferme de Malpas,ile de Malpas 68 chemin de Mazagran,Besançon,25000,N/A,la ferme de Malpas,https://www.lafermedemalpas.fr/reservez-votre-visite-grand-public/,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/05/Empreintes3.jpg,https://sortir.besancon.fr/evenement/visite-de-la-ferme-et-atelier-trace-danimaux-en-platre/
Biergarten du Bastion : 40 ans,2024-06-07T00:00:00+02:00,2024-06-09T23:59:59+02:00,"Trois jours de festivité du 07 au 09 juin pour célébrer la scène locale et régionale, le tout à l’intérieur et aux abords du Bastion.",Le Bastion,"16, avenue Gaulard",Besançon,25000,France,Association le Bastion,https://www.facebook.com/events/815373390463512/?ref=newsfeed,"Jeune Public, Loisirs",https://sortir.besancon.fr/wp-content/uploads/2024/05/441640959_841131618048222_3549664832109149737_n.jpg,https://sortir.besancon.fr/evenement/biergarten-du-bastion-40-ans/
Réalisation d’un herbier,2024-06-08T00:00:00+02:00,2024-06-08T23:59:59+02:00,Dans le cadre de l’exposition « Dessine-moi ta planète » de la Citadelle.,Médiathèque Pierre Bayle,"27, Avenue de la République",Besançon,25000,France,Bibliothèques municipales de Besançon,https://bibliotheques.besancon.fr/,"Jeune Public, Loisirs",https://sortir.besancon.fr/wp-content/uploads/2024/03/1-14.jpg,https://sortir.besancon.fr/evenement/realisation-dun-herbier/
Atelier Cyanotype « crée ton affiche » | Biergarten des 40 ans,2024-06-09T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Le Biergarten du Bastion, c’est aussi pour les familles !",Le Bastion,"16, avenue Gaulard",Besançon,25000,France,Le Bastion,N/A,Jeune Public,https://sortir.besancon.fr/wp-content/uploads/2024/05/WEB_FOCUS_CARRE_ATELIERS_CYANOTYPE-scaled.jpg,https://sortir.besancon.fr/evenement/atelier-cyanotype-cree-ton-affiche-biergarten-des-40-ans/
Éveil tout-petits (18 mois – 3 ans),2024-06-09T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Ici on scrute les animaux dans un ou deux tableaux, avec des bruits, des comptines, des histoires, des marionnettes…",Musée des Beaux-arts et d’Archéologie,"1, place de la Révolution",Besançon,25000,France,Musée des Beaux-Arts et d’Archéologie,N/A,Jeune Public,https://sortir.besancon.fr/wp-content/uploads/2021/06/188040082_4533246390036738_7195393596825083453_n-e1671175782271.jpg,https://sortir.besancon.fr/evenement/visite-guidee-tout-petits-18-mois-3-ans/2024-06-09/
Visite de la ferme et atelier « kokedema »,2024-06-12T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Après une visite de la ferme et un petit goûter fermier, vous pourrez participer à un atelier « kokedema » afin de fabriquer un pot de fleur personnalisé et naturel en argile et mousse.",La ferme de Malpas,ile de Malpas 68 chemin de Mazagran,Besançon,25000,N/A,la ferme de Malpas,https://www.lafermedemalpas.fr/reservez-votre-visite-grand-public/,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/05/kokedama.jpg,https://sortir.besancon.fr/evenement/visite-de-la-ferme-et-atelier-kokedema/
Atelier fabrication d’un arbre des saisons,2024-06-15T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Le monde autour de nous change au fil de l’année et des saisons. Lors de l’atelier, les tout-petits fabriqueront un arbre des saisons qui les accompagnera tout au long de leur voyage à travers l’année.",Musée du Temps,96 Grande Rue,Besançon,25000,France,Musée du Temps,N/A,Jeune Public,https://sortir.besancon.fr/wp-content/uploads/2024/05/IMG_6324-scaled.jpg,https://sortir.besancon.fr/evenement/atelier-fabrication-dun-arbre-des-saisons/2024-06-15/
